Name,Count of Baby Names,Count of Dog Names
Nevyn,76,1
Newton,184,13
Neyla,139,1
Nia,8546,14
Niah,575,2
Nicco,303,2
Niccolo,254,2
Nicholai,300,1
Nicholas,177531,9
Nick,2162,26
Nicki,149,10
Nickolas,8975,2
Nicky,438,47
Nico,3132,77
Nicodemus,273,1
Nicolas,28198,3
Nicole,54549,4
Nicoletta,318,1
Nicolette,2876,6
Niel,73,1
Nigel,2836,26
Nika,474,13
Niki,472,11
Nikita,2353,17
Nikki,2864,86
Nikko,820,35
Niko,1917,83
Nikolai,1622,3
Nikos,195,1
Nila,553,7
Nilah,301,2
Niles,449,9
Nils,263,2
Nima,200,4
Nina,12835,124
Nino,404,51
Niobe,123,1
Nisa,389,1
Nisha,518,1
Nissa,207,1
Niveah,122,1
Nixie,113,3
Nixon,626,3
Niya,1679,2
Niyah,1137,1
Noa,2203,1
Noah,143606,40
Noble,673,3
Noel,7663,28
Noelani,1092,1
Noella,293,2
Noelle,6946,6
Nola,1454,24
Nolan,26322,2
Nona,178,1
Noor,2405,1
Nora,10882,25
Norah,4429,1
Norbert,157,1
Nori,125,10
Norma,1976,3
Norman,2026,32
Norris,283,1
North,75,3
Nova,1425,33
Novella,113,1
November,173,1
Nubia,586,1
Nura,140,3
Nya,3020,7
Nyah,2860,4
Nyla,6459,38
Nyomi,632,1
Oakley,1145,20
Obadiah,345,1
Obie,140,8
Ocean,1343,7
Oceana,370,2
Octavia,1483,1
Octavious,352,1
Odell,197,1
Oden,225,2
Odessa,542,2
Odette,337,3
Odin,1204,32
Odyssey,175,1
Ofelia,561,2
Ola,117,1
Olaf,136,11
Olive,1555,152
Oliver,20837,367
Olivia,155843,66
Olivier,490,4
Ollie,416,104
Olympia,207,4
Om,967,2
Omar,28121,13
Omega,95,6
Ona,147,1
Oneil,188,1
Onyx,435,85
Oona,272,9
Opal,556,9
Ophelia,469,15
Oran,199,2
Ori,333,4
Orian,161,1
Orion,4477,17
Orla,179,1
Orlando,7477,4
Orly,174,2
Orson,136,2
Orville,132,4
Oscar,33473,276
Osiris,937,5
Oskar,820,15
Oswald,189,3
Othello,64,5
Otis,1016,112
Otto,1163,74
Owen,61873,15
Oz,157,10
Ozzie,301,54
Ozzy,542,72
Pablo,10465,38
Pacey,455,2
Paco,81,52
Paden,552,1
Page,458,2
Paige,45592,8
Paisley,3337,16
Palmer,926,2
Paloma,3047,8
Pamela,5236,1
Pandora,312,13
Paola,9855,1
Paolo,1005,5
Papa,111,9
Paradise,363,1
Pari,251,1
Paris,11358,73
Park,82,1
Parker,39802,94
Parris,675,1
Parrish,270,1
Pasha,88,9
Pasquale,252,3
Passion,656,3
Patience,3503,2
Patrice,675,1
Patricia,9284,2
Patrick,44633,22
Patsy,255,15
Patterson,72,2
Patton,258,3
Patty,157,15
Paul,30789,6
Paula,4162,1
Paulette,400,1
Pauline,1090,1
Paulo,918,1
Pax,64,10
Paxton,3956,6
Payson,502,1
Payton,36287,10
Peace,130,2
Pearl,2218,45
Pearla,134,2
Pearson,361,1
Pedro,15591,18
Peggy,336,19
Penelope,5652,99
Penn,118,2
Penny,621,343
Pepper,191,235
Percy,488,35
Perl,138,1
Perla,7470,17
Perrin,416,1
Perry,2316,14
Persephone,464,6
Persia,375,5
Pete,886,37
Peter,26040,43
Petra,1041,11
Peyton,52287,16
Phaedra,235,1
Pharaoh,182,3
Pharoah,164,1
Phebe,322,5
Phelan,114,1
Phenix,129,2
Pheobe,242,8
Pheonix,338,3
Phil,198,6
Philemon,107,1
Philip,10152,5
Philipp,124,1
Philippe,302,1
Phillip,13425,2
Phillipe,107,1
Philomena,215,1
Phineas,600,7
Phoebe,8058,116
Phoenix,7850,28
Phyllis,291,7
Pia,384,10
Pierce,4877,3
Piero,223,1
Pierre,1744,19
Pietro,261,1
Piper,12237,90
Pippa,106,42
Pj,56,17
Polly,312,25
Polo,115,60
Poppy,406,44
Porscha,135,6
Porsche,178,8
Porsha,368,1
Porter,4134,10
Portia,709,5
Praise,272,1
Preciosa,115,9
Precious,5424,154
Prem,184,1
Prescott,185,3
Presley,7778,18
Preston,30411,22
Price,394,5
Primo,75,19
Prince,2324,328
Princesa,251,16
Princess,3244,603
Princessa,116,15
Princeton,576,8
Priscilla,9553,13
Promise,1380,3
Prophet,91,2
Prosper,60,1
Prudence,249,10
Queen,571,16
Queenie,211,30
Quentin,8369,3
Quest,144,3
Quin,599,3
Quincey,595,2
Quincy,6245,43
Quinlan,1362,2
Quinn,15483,32
Quinton,5889,2
Rachael,9122,1
Rachel,68150,10
Radley,198,3
Rafael,14997,5
Rafaela,275,1
Rafferty,71,2
Raffi,129,5
Rafi,148,4
Raiden,1651,2
Raider,96,2
Raif,132,1
Railey,313,1
Rain,1195,4
Raina,2916,5
Raine,938,1
Rainer,200,3
Rainey,468,1
Rainie,175,1
Raizy,527,1
Raj,586,2
Raja,364,10
Rajah,89,5
Raleigh,1074,15
Ralph,2765,46
Ram,206,1
Rama,225,1
Rameses,85,1
Rami,839,2
Ramiro,4291,1
Ramon,8124,3
Ramona,875,13
Ramone,371,1
Ramsay,70,2
Ramses,1068,2
Ramsey,1533,6
Ramzi,196,1
Rand,151,2
Randal,532,1
Randall,4055,1
Randolph,799,2
Randon,299,2
Randy,10333,21
Ranger,175,51
Rani,376,2
Ransom,452,1
Raoul,97,1
Raphael,3155,2
Raquel,6853,3
Raven,11008,32
Rawley,98,2
Ray,3865,10
Raya,1045,2
Raylan,72,2
Raymond,20273,8
Rayna,3042,1
Rayne,2376,3
Reagan,22349,8
Reba,290,14
Rebecca,43540,6
Rebekah,13474,1
Rebel,103,16
Reece,9166,4
Reed,5778,3
Reef,311,1
Reese,20219,26
Regan,6691,1
Reggie,846,55
Regina,4524,9
Reginald,5259,4
Regis,136,6
Rei,123,1
Reign,577,2
Reilley,182,1
Reilly,4344,36
Reily,485,2
Reina,2710,13
Remi,1430,22
Remington,3177,15
Remy,2138,124
Ren,278,3
Rena,1100,1
Renata,1318,3
Rene,5856,1
Renee,5881,1
Renna,153,1
Renny,68,1
Reno,349,7
Renzo,586,2
Reo,70,1
Reuben,2147,11
Rex,2043,201
Rey,1946,4
Reyna,4556,6
Reynolds,72,1
Rhea,2037,2
Rhett,3014,4
Rhianna,2623,1
Rhiannon,4063,2
Rhoda,349,4
Rhonda,544,3
Rhys,2435,1
Ria,1486,2
Ricardo,27133,5
Rich,202,1
Richard,48449,11
Richie,675,13
Richmond,244,1
Rick,1328,1
Ricki,488,7
Ricky,8141,68
Rico,1294,50
Riddick,195,1
Rider,433,1
Ridge,983,2
Ridley,343,4
Rieley,207,1
Rielly,263,1
Riely,225,1
Rigel,128,1
Riggs,153,1
Rihanna,3328,2
Riker,116,2
Riki,116,1
Rikki,592,2
Riku,145,2
Riley,84953,299
Rima,153,1
Rina,621,1
Rio,1116,27
Ripley,358,38
Risa,329,1
Rishi,1577,1
Rita,2160,13
Ritchie,203,1
River,5816,21
Rivers,539,2
Rivka,1866,1
Rj,215,7
Roan,779,1
Roark,78,1
Rob,118,3
Robbie,922,16
Robert,106405,4
Roberta,544,5
Robin,3777,14
Roby,121,2
Robyn,2343,4
Rocco,4392,188
Rochelle,1289,2
Rocio,2524,1
Rock,200,15
Rocket,57,43
Rockwell,152,3
Rocky,1755,823
Roderick,2647,1
Rodney,6447,4
Rogan,497,2
Roger,6342,33
Roland,2651,6
Rollie,62,5
Roma,371,5
Roman,14633,22
Rome,506,3
Romello,547,1
Romeo,4452,200
Romero,313,4
Romina,807,1
Rommel,271,1
Romulo,92,1
Romy,418,8
Ron,778,5
Ronald,13600,5
Ronan,3331,8
Roni,582,4
Ronin,1395,6
Ronni,320,1
Ronnie,4507,6
Ronny,814,4
Rooney,93,14
Roosevelt,568,6
Roque,385,2
Rori,647,2
Rorie,226,1
Rory,4804,26
Rosa,7940,11
Rosabella,137,1
Rosalia,801,1
Rosalie,1609,4
Rosalind,401,1
Rosaria,127,1
Rosario,1534,1
Roscoe,361,91
Rose,9471,36
Rosemarie,1040,2
Rosemary,3917,2
Rosetta,303,2
Rosie,1151,262
Rosita,314,4
Ross,3547,7
Rossi,61,2
Rossy,161,1
Rosy,347,10
Rourke,81,2
Rowan,9411,6
Rowdy,921,9
Rowena,126,2
Roxanna,1429,1
Roxanne,2147,33
Roxie,362,126
Roxy,740,294
Roy,5549,22
Roya,218,1
Royal,877,10
Royale,60,1
Royce,1803,6
Ruairi,60,1
Ruben,15329,2
Rubi,3420,5
Rubin,280,2
Ruby,21919,339
Ruddy,90,1
Rudi,90,7
Rudolf,69,2
Rudolph,587,3
Rudy,3756,101
Rueben,380,2
Rufino,202,1
Rufus,321,105
Ruger,314,2
Rui,123,2
Rupert,109,24
Rush,264,1
Russ,70,4
Russel,355,10
Russell,7769,25
Rusty,596,204
Rut,269,1
Ruth,9061,6
Ruthie,711,10
Ryan,178773,8
Ryder,10701,26
Rye,159,7
Rylee,24173,7
Ryleigh,8393,2
Ryley,3173,1
Rylie,8871,2
Ryo,181,1
Ryu,371,3
Saba,357,7
Sabastian,1548,2
Saber,84,3
Sabina,1284,3
Sabine,838,3
Sable,220,23
Sabrina,22268,23
Sacha,333,10
Sachi,371,10
Sadi,205,1
Sadie,21210,281
Saffron,258,6
Safi,67,2
Sagan,128,3
Sage,10633,33
Sahara,1539,4
Saida,332,2
Saige,3362,3
Sailor,701,16
Saint,127,3
Sakari,211,1
Sakura,594,4
Sal,123,4
Salem,1023,4
Salina,745,1
Sallie,311,3
Sally,2563,63
Salome,654,2
Salomon,683,6
Salvador,7852,4
Salvatore,2798,2
Sam,5721,204
Samantha,134160,119
Samara,5942,3
Samari,902,1
Samatha,347,2
Sami,1537,18
Samia,1092,1
Samir,2344,1
Samira,2347,2
Sammantha,435,1
Sammi,326,20
Sammie,549,37
Sammy,2153,262
Sampson,351,23
Samson,1906,101
Samuel,138181,9
Samy,230,3
Sanai,1709,1
Sander,273,1
Sandi,253,17
Sandra,9954,6
Sandro,397,2
Sandy,3018,236
Sanford,132,1
Sanjay,685,1
Santa,112,3
Santana,2392,8
Santiago,14567,3
Santino,2517,12
Santo,224,5
Santos,2607,3
Sanya,734,1
Saoirse,380,2
Saphira,430,2
Saphire,330,3
Sapphira,135,1
Sapphire,930,10
Sara,43958,27
Sarafina,161,1
Sarah,124157,30
Saray,963,1
Sareena,173,1
Sarita,340,2
Sascha,422,4
Sasha,8953,306
Satchel,237,1
Satya,194,2
Saul,10517,2
Savana,2611,1
Savanah,3993,1
Savanna,13000,4
Savannah,64616,38
Savio,68,1
Sawyer,11306,28
Saxon,375,3
Saxton,193,1
Saya,307,1
Sayer,126,1
Sayge,162,1
Sayla,204,1
Scarlet,2602,22
Scarlett,8571,40
Scarlette,589,1
Schneider,112,2
Schuyler,926,2
Scott,16195,7
Scottie,387,12
Scotty,607,21
Scout,1243,186
Seamus,2437,35
Sean,64230,9
Sebastian,53843,64
Sebastion,369,1
Secret,215,3
Sedona,716,4
Sela,614,1
Selena,12345,4
Selene,1706,2
Sendy,105,1
Seneca,695,1
Senna,173,3
September,331,2
Sequoia,1305,1
Sera,511,1
Serafina,463,1
Seraphina,339,1
Serena,10580,6
Serenity,19497,7
Serge,139,1
Sergio,19412,4
Seth,48034,4
Seven,927,16
Shade,383,2
Shadi,153,1
Shadow,100,283
Shady,84,10
Shai,699,6
Shaina,1642,4
Shaine,197,1
Shakira,2666,17
Shala,192,2
Shalom,789,3
Shalyn,614,1
Shamus,499,9
Shana,1182,10
Shane,26358,27
Shani,589,1
Shanna,1205,2
Shannon,14363,5
Shanti,457,13
Shara,233,1
Sharon,5158,2
Shasta,276,6
Shaw,205,1
Shay,2157,12
Shayla,9527,3
Shaylee,3100,1
Shayna,3280,25
Shayne,2380,2
Shea,4843,66
Sheamus,151,4
Sheena,483,13
Sheila,2858,20
Shelbey,167,1
Shelbi,1077,1
Shelby,32069,59
Sheldon,2461,10
Shelley,430,2
Shellie,143,1
Shelly,1024,15
Shepherd,284,2
Sheri,197,1
Sherly,316,1
Sherman,713,21
Sherri,271,1
Sherrie,151,1
Sherry,1010,7
Sherwood,56,2
Sheryl,359,1
Shi,115,4
Shilah,304,1
Shilo,351,8
Shiloh,3039,47
Shira,1318,2
Shirley,2724,11
Shiva,158,9
Shlomo,1205,3
Shona,106,2
Shooter,94,4
Shoshana,1021,1
Shy,144,8
Shyann,3090,2
Shyla,2565,9
Shylo,132,2
Shyloh,159,1
Shyne,140,2
Sia,352,1
Siana,388,1
Sid,197,7
Siddhartha,141,1
Sidney,11110,27
Siena,2932,3
Sienna,10651,14
Sierra,34479,18
Signe,186,1
Silas,7263,5
Silver,268,17
Silvio,232,1
Sima,379,2
Simi,110,1
Simon,13336,82
Simona,513,1
Simone,5337,11
Sincere,3479,1
Sinclair,116,1
Sindy,535,4
Sinead,295,1
Sinjin,139,1
Sir,383,80
Sire,135,3
Sirena,531,2
Siri,716,4
Sirius,116,13
Sirus,116,2
Sky,3337,76
Skye,7324,35
Skyla,4624,5
Skylar,27968,30
Skyler,24172,19
Skylie,243,2
Skyy,777,6
Slate,164,2
Sloan,1381,1
Sloane,1657,2
Smith,393,5
Snow,107,73
Socrates,91,5
Sofi,175,7
Sofia,43263,47
Sofie,1372,40
Sofiya,270,1
Sol,981,3
Sole,291,2
Soleil,1414,4
Solomon,5590,4
Sona,187,1
Sondra,204,1
Sonia,4870,8
Sonja,1183,4
Sonny,2325,91
Sonora,248,2
Sonya,2268,3
Sophi,204,2
Sophia,118989,82
Sophie,28596,383
Sora,389,6
Soren,2220,2
Sparkle,141,28
Spence,125,1
Spencer,27995,68
Spenser,427,2
Spirit,333,22
Spring,231,6
Stacey,3198,2
Staci,439,3
Stacie,811,1
Stacy,4523,10
Stan,96,5
Stanford,185,4
Stanley,4118,55
Stanton,279,1
Star,1799,80
Starla,734,1
Starr,1561,10
Steel,160,3
Steele,487,2
Stella,11798,327
Stephan,2030,1
Stephanie,49977,3
Sterling,3563,12
Steve,5085,12
Steven,53858,7
Stevie,2285,39
Stewart,946,6
Stiles,73,3
Stone,2053,12
Stoney,197,5
Storm,1238,76
Stormy,1489,20
Story,291,4
Strider,91,5
Stryker,254,4
Stuart,1699,5
Styles,170,3
Sue,235,4
Suki,161,44
Sullivan,2376,5
Sully,210,14
Sultan,293,5
Sumaya,631,1
Summer,22102,48
Summit,103,2
Sunday,130,13
Sunnie,306,4
Sunny,1803,99
Sunshine,826,36
Supreme,95,4
Suri,888,4
Sury,328,1
Surya,437,2
Susan,5173,5
Susana,2842,2
Susie,774,48
Susy,114,12
Sutter,74,1
Sutton,1128,2
Suvan,59,1
Suzanna,946,1
Suzette,673,4
Suzie,200,33
Suzy,180,22
Sven,271,2
Sy,249,3
Sybil,150,3
Sydne,212,1
Sydney,77170,56
Sydny,115,1
Sylar,183,4
Syler,261,1
Sylis,179,1
Sylvana,164,1
Sylvester,733,1
Sylvia,5402,6
Sylvie,878,11
Symon,168,1
Symphony,604,3
Syrus,548,2
Tabatha,876,4
Tabitha,6804,16
Tad,318,2
Taft,93,1
Tag,71,3
Tai,1401,5
Tailor,322,1
Taina,1024,10
Taison,90,1
Taiyo,111,1
Taj,1475,2
Taja,442,1
Takara,347,2
Takeshi,66,1
Takoda,604,4
Tala,762,1
Tali,275,4
Talia,8490,6
Talley,111,1
Tallie,104,2
Tallulah,602,43
Talula,127,3
Tamara,5083,4
Tamari,368,1
Tammie,142,2
Tammy,1558,20
Tania,6168,2
Tanna,429,1
Tanner,32346,14
Tanya,3932,6
Tanyon,117,1
Tao,114,7
Tara,8542,38
Taran,503,1
Taro,87,10
Tasha,930,27
Tasia,1028,1
Tate,6901,10
Tatiana,11122,1
Tatum,9089,3
Tatyana,3867,1
Tavish,150,1
Tawny,255,3
Taylor,118423,27
Taysha,198,1
Tayson,302,2
Tea,1157,2
Teagan,8611,1
Teal,107,1
Teanna,677,1
Ted,763,12
Teddy,779,485
Teegan,1043,2
Tegan,2595,2
Telly,127,3
Temperance,376,2
Tempest,187,2
Temple,110,1
Tennessee,81,5
Tennyson,205,1
Tenoch,127,1
Tenzin,809,2
Teo,400,5
Tera,546,2
Teresa,6736,4
Teri,424,2
Terra,1159,10
Terri,1006,5
Terry,6895,23
Tesa,203,2
Tesla,354,14
Tess,4016,27
Tessa,13121,22
Tessie,143,12
Tex,68,8
Texas,78,6
Thaddeus,2040,1
Thai,365,2
Thais,420,1
Thalia,3841,4
Thatcher,849,2
Thayer,135,2
Thea,1358,3
Thelma,375,7
Thelonious,88,2
Theo,1380,49
Theoden,58,1
Theodora,443,1
Theodore,10515,47
Thomas,101984,27
Thomson,63,1
Thor,697,89
Thorne,119,1
Thunder,132,33
Thurman,172,3
Thurston,172,1
Tia,5208,16
Tian,92,3
Tiana,6819,2
Tiara,4739,2
Tiberius,110,6
Tidus,144,1
Tiffany,20126,55
Tiger,363,103
Tighe,122,2
Tila,145,3
Tillie,203,10
Tillman,230,1
Tilly,181,26
Tim,771,7
Timber,424,11
Timmy,774,29
Timon,111,3
Timoteo,150,2
Timothy,52220,9
Tin,131,3
Tina,3250,53
Tino,247,25
Tinsley,289,3
Titan,754,44
Tito,357,40
Titus,4413,19
Tiya,200,1
Tj,376,19
Tobey,494,17
Tobi,357,35
Tobias,4753,15
Tobie,223,6
Tobin,1004,2
Toby,5404,446
Tod,83,3
Todd,4104,3
Tom,1093,16
Tomi,206,1
Tommaso,134,1
Tommi,257,1
Tommie,929,7
Tommy,6693,55
Tomy,69,1
Toni,3533,9
Tony,9813,58
Tonya,772,1
Topanga,229,2
Tori,8827,9
Torre,113,3
Torri,468,3
Torrie,578,1
Tory,1213,5
Tosh,176,1
Tova,438,2
Tovah,109,1
Trace,4513,1
Tracey,930,4
Tracie,350,3
Tracy,3539,13
Trapper,256,3
Travis,25652,18
Tray,273,2
Treasure,2113,7
Trent,13033,1
Trenton,20831,3
Tres,103,2
Trever,1538,2
Trevor,39958,21
Trey,13832,8
Trina,917,8
Trinidad,676,1
Trinity,47456,23
Trip,102,2
Tripp,1038,5
Tristan,45134,8
Triton,371,1
Tron,71,2
Troy,14720,38
Trudy,202,9
Truman,1656,16
Truth,303,1
Tuan,153,1
Tucker,12469,154
Tuesday,265,7
Tuff,160,2
Tula,163,2
Tully,100,6
Tulsi,127,1
Turner,1816,6
Twyla,232,3
Ty,17260,18
Tyberius,68,1
Tyce,807,1
Tycho,61,1
Tye,1409,2
Tyger,150,1
Tyke,81,5
Tyler,169398,39
Tylor,1907,1
Tyra,3679,5
Tyrell,3598,1
Tyrion,137,6
Tyron,1331,1
Tyrone,4371,4
Tysen,642,2
Tyshawn,1953,1
Tyson,11352,168
Ubaldo,459,1
Ulrich,64,2
Ulysses,1879,9
Uma,559,6
Una,298,5
Unique,2748,3
Urbano,65,1
Uri,217,2
Ursula,357,6
Usher,314,2
Vada,587,1
Val,119,4
Valarie,975,1
Valencia,1178,3
Valentin,2294,2
Valentina,7471,21
Valentine,425,16
Valentino,1513,40
Valeria,26157,1
Valerie,21889,4
Valor,89,2
Van,1802,3
Vanessa,43194,2
Vanna,178,4
Vanya,214,1
Vash,95,1
Veda,835,5
Veer,351,1
Vega,165,5
Vegas,93,13
Velvet,109,4
Venice,280,3
Venus,746,24
Vera,1597,8
Veronica,17193,3
Veronique,161,1
Vianney,1002,1
Vicente,3915,2
Vicki,361,4
Vickie,230,2
Vicky,1309,11
Victor,40586,10
Victoria,84838,25
Victory,314,5
Vida,539,6
Vienna,790,6
Viggo,177,2
Vilma,254,1
Vince,1300,6
Vincent,35184,18
Vincenzo,1847,2
Vinnie,93,3
Vinny,210,22
Viola,714,5
Violet,9748,52
Violeta,1305,1
Violette,477,1
Virgil,683,4
Virginia,6681,5
Vita,183,8
Vito,732,21
Vivi,150,2
Vivian,14632,12
Vivien,932,2
Vivienne,1556,2
Vlad,199,1
Vladimir,1367,3
Vu,67,1
Wade,4484,2
Wagner,86,5
Waldo,113,5
Wali,157,1
Walker,6403,10
Wallace,880,24
Wally,100,73
Walt,91,2
Walter,8106,65
Walton,187,1
Wanda,470,9
Warner,399,2
Warren,4933,2
Washington,82,3
Watson,219,59
Waylon,3335,6
Wayne,3684,6
Webster,94,11
Wednesday,178,10
Wellington,174,11
Wells,166,1
Wendall,94,1
Wendell,899,4
Wendy,9553,13
Wes,478,6
Wesley,21248,20
West,307,3
Westley,807,5
Westly,94,2
Weston,7964,5
Weylin,91,1
Whisper,247,8
Whitman,154,2
Whitney,7310,12
Whittney,157,1
Wil,358,1
Wilber,557,1
Wilbert,608,1
Wilbur,247,29
Wilder,364,2
Wiley,793,18
Wilfred,341,3
Wilfredo,981,1
Wilhelmina,193,2
Will,4441,8
Willa,1342,14
Willard,561,1
William,194103,18
Willie,5135,64
Willis,741,11
Willow,5971,87
Willy,503,37
Wilma,245,5
Wilson,4874,36
Windy,116,5
Winfield,73,2
Winifred,251,2
Winnie,745,96
Winona,195,2
Winslow,76,7
Winston,2330,187
Winter,2202,39
Wisdom,484,2
Wolf,203,4
Wolfgang,500,13
Woodrow,283,4
Woody,91,31
Wrangler,70,1
Wren,800,2
Wrigley,92,27
Wyatt,51339,20
Wyeth,125,1
Wylee,112,1
Wylie,672,9
Wynston,114,1
Wynter,1201,3
Xander,9874,11
Xaria,322,1
Xavi,202,2
Xavier,52439,6
Xena,349,70
Xenia,481,3
Xia,145,1
Xin,142,1
Xion,159,1
Xochitl,1654,3
Xxavier,57,1
Xyla,103,2
Yadira,4342,1
Yamato,61,2
Yan,258,2
Yana,666,3
Yancey,112,1
Yandel,1852,1
Yanni,291,1
Yara,1233,1
Yari,144,2
Yasmeen,1672,1
Yasmin,8409,1
Yelena,479,1
Yianni,136,1
Yolanda,2175,3
Yona,113,1
Yoshi,65,53
Ysabel,409,2
Yuki,448,36
Yuma,100,2
Yumi,159,10
Yuna,457,4
Yunior,140,2
Yuri,982,4
Yuuki,77,2
Yves,126,1
Zac,301,5
Zach,725,14
Zachariah,6589,3
Zachary,134719,18
Zack,1861,26
Zadie,390,4
Zahava,179,1
Zahra,1534,1
Zailey,171,1
Zaina,739,2
Zair,155,1
Zaire,2679,1
Zak,410,8
Zaki,417,1
Zakk,236,1
Zander,8215,3
Zane,14897,3
Zara,2532,18
Zaya,219,1
Zayden,2332,1
Zaylee,459,1
Zayn,387,1
Zeb,305,2
Zebedee,87,1
Zeena,138,4
Zeina,211,1
Zeke,1094,33
Zelda,388,43
Zen,488,7
Zena,409,27
Zeno,86,2
Zephyr,316,8
Zeppelin,71,4
Zeta,233,3
Zeth,438,1
Zeus,363,194
Zev,882,3
Zhane,581,1
Zia,713,2
Ziggy,149,111
Zion,14284,8
Ziva,172,9
Zoe,48748,269
Zoee,815,2
Zoey,21381,254
Zoi,302,3
Zoie,4700,8
Zola,359,11
Zoltan,108,1
Zora,868,13
Zoran,84,1
Zori,115,1
Zosia,103,1
Zowie,442,2
Zoya,845,3
Zuly,153,2
Zuri,1435,5
